ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,drop_ps,err_ps
1762802799.6499507,2,2,116863,116983,10015568,10026446,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802799.6499507,2,3,116792,116899,10009210,10017858,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802799.6499507,1,1,566,232810,49784,19954992,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802799.6499507,1,2,116983,116863,10026446,10015568,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802799.6499507,1,3,116716,116971,10002126,10024546,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802800.6499555,3,1,119542,119289,10244838,10222562,1,0,0,0,1762327.5965671702,1763479.5910740325,1.7623275965671703,1.7634795910740324,0.0,0.0
1762802800.6499555,3,2,119468,119357,10237928,10228886,1,0,0,0,1760551.6050357579,1757399.6200655934,1.760551605035758,1.7573996200655935,0.0,0.0
1762802800.6499555,2,1,584,237963,51380,20396442,0,0,0,0,5007.976120108985,3516239.2332647643,0.005007976120108985,3.5162392332647645,0.0,0.0
1762802800.6499555,2,2,119438,119559,10236214,10247142,1,0,0,0,1765159.5830632064,1765559.5811558669,1.7651595830632063,1.7655595811558669,0.0,0.0
1762802800.6499555,2,3,119357,119468,10228886,10237928,0,0,0,0,1757399.6200655934,1760551.6050357579,1.7573996200655935,1.760551605035758,0.0,0.0
1762802800.6499555,1,1,574,237940,50496,20394632,0,0,0,0,5695.97283948498,3517103.2291449113,0.0056959728394849795,3.517103229144911,0.0,0.0
1762802800.6499555,1,2,119559,119438,10247142,10236214,0,0,0,0,1765559.5811558669,1765159.5830632064,1.7655595811558669,1.7651595830632063,0.0,0.0
1762802800.6499555,1,3,119289,119542,10222562,10244838,0,0,0,0,1763479.5910740325,1762327.5965671702,1.7634795910740324,1.7623275965671703,0.0,0.0
1762802801.649948,3,1,119542,119289,10244838,10222562,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,3,2,119468,119357,10237928,10228886,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,2,1,584,237963,51380,20396442,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,2,2,119438,119559,10236214,10247142,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,2,3,119357,119468,10228886,10237928,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,1,1,574,237940,50496,20394632,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,1,2,119559,119438,10247142,10236214,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802801.649948,1,3,119289,119542,10222562,10244838,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802802.6498842,3,1,122097,121840,10463640,10441124,1,0,0,0,1750527.4346563944,1748607.312425713,1.7505274346563944,1.748607312425713,0.0,0.0
1762802802.6498842,3,2,122026,121912,10457162,10447812,1,0,0,0,1753983.6546716206,1751519.497808913,1.7539836546716205,1.751519497808913,0.0,0.0
1762802802.6498842,2,1,591,243059,52006,20833290,0,0,0,0,5008.318818360449,3495006.4842861425,0.005008318818360449,3.4950064842861424,0.0,0.0
1762802802.6498842,2,2,121990,122110,10454834,10465800,1,0,0,0,1749071.3419647943,1749375.3613179855,1.7490713419647943,1.7493753613179854,0.0,0.0
1762802802.6498842,2,3,121912,122026,10447812,10457162,0,0,0,0,1751519.497808913,1753983.6546716206,1.751519497808913,1.7539836546716205,0.0,0.0
1762802802.6498842,1,1,581,243037,51122,20831246,0,0,0,0,5008.318818360449,3493134.365111228,0.005008318818360449,3.493134365111228,0.0,0.0
1762802802.6498842,1,2,122110,121990,10465800,10454834,0,0,0,0,1749375.3613179855,1749071.3419647943,1.7493753613179854,1.7490713419647943,0.0,0.0
1762802802.6498842,1,3,121840,122097,10441124,10463640,0,0,0,0,1748607.312425713,1750527.4346563944,1.748607312425713,1.7505274346563944,0.0,0.0
1762802803.6499968,3,1,122097,121840,10463640,10441124,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,3,2,122026,121912,10457162,10447812,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,2,1,591,243059,52006,20833290,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,2,2,121990,122110,10454834,10465800,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,2,3,121912,122026,10447812,10457162,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,1,1,581,243037,51122,20831246,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,1,2,122110,121990,10465800,10454834,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802803.6499968,1,3,121840,122097,10441124,10463640,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802804.6499462,3,1,124669,124390,10684136,10659592,1,0,0,0,1764057.1638085193,1747832.3437292266,1.7640571638085192,1.7478323437292267,0.0,0.0
1762802804.6499462,3,2,124583,124470,10676176,10667012,1,0,0,0,1752200.5645198054,1753688.6397341785,1.7522005645198053,1.7536886397341787,0.0,0.0
1762802804.6499462,2,1,599,248167,52718,21270826,0,0,0,0,5696.2879173847405,3500464.930085463,0.005696287917384741,3.500464930085463,0.0,0.0
1762802804.6499462,2,2,124543,124668,10673676,10684872,1,0,0,0,1750824.4949667293,1752664.5879737497,1.7508244949667293,1.7526645879737497,0.0,0.0
1762802804.6499462,2,3,124470,124583,10667012,10676176,0,0,0,0,1753688.6397341785,1752200.5645198054,1.7536886397341787,1.7522005645198053,0.0,0.0
1762802804.6499462,1,1,588,248146,51748,21269244,0,0,0,0,5008.253140846696,3504161.1169082606,0.005008253140846696,3.5041611169082607,0.0,0.0
1762802804.6499462,1,2,124668,124543,10684872,10673676,0,0,0,0,1752664.5879737497,1750824.4949667293,1.7526645879737497,1.7508244949667293,0.0,0.0
1762802804.6499462,1,3,124390,124669,10659592,10684136,0,0,0,0,1747832.3437292266,1764057.1638085193,1.7478323437292267,1.7640571638085192,0.0,0.0
1762802805.649984,3,1,124669,124390,10684136,10659592,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,3,2,124583,124470,10676176,10667012,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,2,1,599,248167,52718,21270826,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,2,2,124543,124668,10673676,10684872,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,2,3,124470,124583,10667012,10676176,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,1,1,588,248146,51748,21269244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,1,2,124668,124543,10684872,10673676,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802805.649984,1,3,124390,124669,10659592,10684136,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802806.649944,3,1,127227,126947,10903224,10878722,1,0,0,0,1752773.7882706264,1753109.8016493022,1.7527737882706265,1.7531098016493023,0.0,0.0
1762802806.649944,3,2,127137,127029,10895104,10886206,1,0,0,0,1751493.7373042416,1753621.8220358563,1.7514937373042416,1.7536218220358564,0.0,0.0
1762802806.649944,2,1,605,253275,53258,21708794,0,0,0,0,4320.172011548502,3503883.5102849524,0.004320172011548502,3.503883510284952,0.0,0.0
1762802806.649944,2,2,127103,127239,10893000,10905296,1,0,0,0,1754661.8634460438,1763462.2138399389,1.7546618634460438,1.763462213839939,0.0,0.0
1762802806.649944,2,3,127029,127137,10886206,10895104,0,0,0,0,1753621.8220358563,1751493.7373042416,1.7536218220358564,1.7514937373042416,0.0,0.0
1762802806.649944,1,1,596,253256,52460,21706986,0,0,0,0,5696.226800412099,3502075.438294934,0.005696226800412099,3.502075438294934,0.0,0.0
1762802806.649944,1,2,127239,127103,10905296,10893000,0,0,0,0,1763462.2138399389,1754661.8634460438,1.763462213839939,1.7546618634460438,0.0,0.0
1762802806.649944,1,3,126947,127227,10878722,10903224,0,0,0,0,1753109.8016493022,1752773.7882706264,1.7531098016493023,1.7527737882706265,0.0,0.0
1762802807.6499481,3,1,127227,126947,10903224,10878722,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,3,2,127137,127029,10895104,10886206,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,2,1,605,253275,53258,21708794,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,2,2,127103,127239,10893000,10905296,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,2,3,127029,127137,10886206,10895104,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,1,1,596,253256,52460,21706986,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,1,2,127239,127103,10905296,10893000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802807.6499481,1,3,126947,127227,10878722,10903224,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802808.6499572,3,1,129813,129530,11124884,11099996,1,0,0,0,1773263.9343954308,1770175.962372167,1.7732639343954308,1.7701759623721671,0.0,0.0
1762802808.6499572,3,2,129733,129616,11117456,11107938,1,0,0,0,1778799.8842402454,1773839.9291769722,1.7787998842402455,1.7738399291769722,0.0,0.0
1762802808.6499572,2,1,613,258439,53970,22151120,0,0,0,0,5695.948395242925,3538575.9408345814,0.0056959483952429245,3.5385759408345816,0.0,0.0
1762802808.6499572,2,2,129698,129821,11115424,11126448,1,0,0,0,1779375.879021787,1769199.9712145552,1.779375879021787,1.7691999712145552,0.0,0.0
1762802808.6499572,2,3,129616,129733,11107938,11117456,0,0,0,0,1773839.9291769722,1778799.8842402454,1.7738399291769722,1.7787998842402455,0.0,0.0
1762802808.6499572,1,1,602,258403,53000,22148248,0,0,0,0,4319.960861560645,3530064.017951803,0.004319960861560645,3.530064017951803,0.0,0.0
1762802808.6499572,1,2,129811,129687,11125588,11114478,0,0,0,0,1762320.033546144,1771807.9475865345,1.762320033546144,1.7718079475865345,0.0,0.0
1762802808.6499572,1,3,129523,129803,11099394,11124040,0,0,0,0,1765360.006004279,1766511.9955673618,1.7653600060042791,1.7665119955673618,0.0,0.0
1762802809.6499288,3,1,129813,129530,11124884,11099996,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,3,2,129733,129616,11117456,11107938,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,2,1,613,258439,53970,22151120,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,2,2,129698,129821,11115424,11126448,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,2,3,129616,129733,11107938,11117456,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,1,1,602,258403,53000,22148248,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,1,2,129811,129687,11125588,11114478,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802809.6499288,1,3,129523,129803,11099394,11124040,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762802810.649975,3,1,132383,132093,11344998,11319648,1,0,0,0,1760830.5559444777,1757134.7268884142,1.7608305559444777,1.7571347268884143,0.0,0.0
